Date,ALB,ARM,AUS,AUT,AZE,BLR,BTN,CAN,COK,CYP,CZE,DNK,ESP,EST,ETH,FIN,FRA,GBR,GEO,GRC,HRV,HUN,IRL,ISL,ITA,JPN,KAZ,KGZ,LBN,LTU,LVA,MDA,MEX,MKD,NLD,NOR,NZL,PHL,PLW,POL,ROU,RUS,SGP,SVN,SWE,SYC,THA,TJK,TKM,UKR,USA,UZB,WSM,ZAF,ZWE
1990,,4.0,,,1.3,7.4,,2.3,,,,,,,,7.1,,6.5,1.3,,,,,3.4,1.1,1.2,5.0,3.9,,6.1,,2.6,,,,4.6,,,5.4,8.5,,5.0,,,,,,1.8,3.4,3.7,0.9,2.9,,,7.0
1991,,2.8,4.1,,1.3,5.9,,2.2,,0.6,,,,,,7.0,,6.5,1.1,,,,,3.2,1.1,1.3,4.3,4.2,,,,2.5,,,,4.6,,,,8.5,11.0,4.2,,,,,,1.7,2.6,2.8,,3.2,,,
1992,,2.8,,,1.0,5.4,,2.2,,,,,1.3,,,6.9,,6.3,,,,,,3.2,1.1,1.2,5.4,3.4,,,,2.2,,,,4.4,,,,7.2,,4.0,,,3.7,,2.5,2.0,3.2,,,3.2,,7.8,
1993,,3.4,2.9,,1.2,5.6,,2.2,,,,,,,,6.5,,6.2,,,,,,3.1,1.0,1.2,5.0,2.8,,2.0,,2.2,,,,4.2,,,,6.8,,3.1,,,,22.0,,2.2,3.9,,,2.9,,,
1994,,2.2,2.9,,1.1,4.7,,2.2,,,,2.4,,,,6.2,,6.2,,,,,,,0.9,1.1,3.4,2.7,,,2.0,2.0,1.0,,,4.2,,,,,,2.9,,,,,,,4.0,,,2.5,,,
1995,,1.7,,1.7,0.9,3.3,,2.2,,,,,,,,,,6.0,,,,,,,0.8,1.2,2.5,1.9,,,,1.9,,,,4.1,,,,,,2.5,,,3.1,,,,,,0.9,1.9,,,
1996,,1.3,,1.6,,,,2.0,,,,,,1.7,,,,6.2,,,,,,,0.9,1.2,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
1997,,,,1.6,,,,2.0,,,,,,1.9,,,,6.1,,,,,,,0.8,1.2,,,,,,,,,,4.1,,,,,2.9,,,,3.2,,,,,,,,,,
1998,,,,1.5,,,,2.2,,,,2.3,,1.9,,5.6,,6.1,,,,,,3.2,0.8,1.1,,,,3.4,,,,,,4.1,,,,,3.5,,,,,,,,,,0.9,,,,
1999,,1.9,2.9,1.5,,,,2.0,,,,2.3,,2.0,,5.7,,5.9,,,,,,3.2,0.8,1.2,,,,,,,,,,3.9,,,,,4.2,,,,3.4,,,,,,0.9,,,,
